Size,Color,Design,SKU,Quantity
S,White,D1,TEE-S-WH-D1,1
S,White,D2,TEE-S-WH-D2,0
S,White,D3,TEE-S-WH-D3,1
S,White,D4,TEE-S-WH-D4,1
S,White,D5,TEE-S-WH-D5,1
S,Black,D1,TEE-S-BL-D1,1
S,Black,D2,TEE-S-BL-D2,0
S,Black,D3,TEE-S-BL-D3,1
S,Black,D4,TEE-S-BL-D4,1
S,Black,D5,TEE-S-BL-D5,1
M,White,D1,TEE-M-WH-D1,1
M,White,D2,TEE-M-WH-D2,1
M,White,D3,TEE-M-WH-D3,1
M,White,D4,TEE-M-WH-D4,1
M,White,D5,TEE-M-WH-D5,1
M,Black,D1,TEE-M-BL-D1,1
M,Black,D2,TEE-M-BL-D2,1
M,Black,D3,TEE-M-BL-D3,0
M,Black,D4,TEE-M-BL-D4,1
M,Black,D5,TEE-M-BL-D5,1
L,White,D1,TEE-L-WH-D1,2
L,White,D2,TEE-L-WH-D2,2
L,White,D3,TEE-L-WH-D3,1
L,White,D4,TEE-L-WH-D4,0
L,White,D5,TEE-L-WH-D5,0
L,Black,D1,TEE-L-BL-D1,2
L,Black,D2,TEE-L-BL-D2,1
L,Black,D3,TEE-L-BL-D3,0
L,Black,D4,TEE-L-BL-D4,1
L,Black,D5,TEE-L-BL-D5,2
XL,White,D1,TEE-XL-WH-D1,2
XL,White,D2,TEE-XL-WH-D2,2
XL,White,D3,TEE-XL-WH-D3,1
XL,White,D4,TEE-XL-WH-D4,1
XL,White,D5,TEE-XL-WH-D5,0
XL,Black,D1,TEE-XL-BL-D1,2
XL,Black,D2,TEE-XL-BL-D2,1
XL,Black,D3,TEE-XL-BL-D3,0
XL,Black,D4,TEE-XL-BL-D4,1
XL,Black,D5,TEE-XL-BL-D5,1
,,,,39
